"Label","DataElementUId","CoCUid","DataSetUid","RMA Table Name","AccessDatabaseFile","AccessDBTable","AccessDBColumn","AccessColumnDescription","DataSETUID","Tab RMA DHIS2",
"Prise en Charge CRENAS/CRENAM ADMIS","veCj7xnZiZf","BKmZEpbxBfd",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_ADM","24 - 59 mois Admis","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","PhXuRLRhdZ0",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_GUERIS","24 - 59 mois Gueris","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","s3alBV6v74r",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_DCD","24 - 59 mois Decedes","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","Fs6JWJX2tId",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_ABD","24 - 59 mois Abandons","fVhjtnQnFpu","Tableau 8",
"Prise en Charge CRENAS/CRENAM","SMngkTsGugd","ysis6H02b2g",,,,"tRM_CSB_SURVEILLANCE_NUT","c2459m_AUTSOR","24 - 59 mois Autres sorties","fVhjtnQnFpu","Tableau 8",
"Enfants ayant recus (y compris SSME) Albendazole","y27E5GOocCh","x99swkdoGur",,,,"tRM_CSB_SURVEILLANCE_NUT","c0611m_ALB","6 - 11 mois Albendazole","fVhjtnQnFpu","Tableau 8",
"Enfants ayant recus (y compris SSME) Vit. A","qopeLx96l7G","npNS4djZaaj",,,,"tRM_CSB_SURVEILLANCE_NUT","c1259m_VITA","12 - 59 mois VIT.A","fVhjtnQnFpu","Tableau 8","Tranche d'age dans DHIS2  12-23mois puis 24-59mois or dans GESIS 12-59mois"
"Enfants ayant recus (y compris SSME) Albendazole","y27E5GOocCh","npNS4djZaaj",,,,"tRM_CSB_SURVEILLANCE_NUT","c1259m_ALB","12 - 59 mois Albendazole","fVhjtnQnFpu","Tableau 8","Tranche d'age dans DHIS2  12-23mois puis 24-59mois or dans GESIS 12-59mois"
"Consultation prenatale Total CPN","qHDVI4FRFjE","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cTOT_CPN","Nombre total des CPN","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN","BSXDXlLBFYt","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1","Femmes enceintes vues en 1ere CPN","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN ayant recu FAF","naBJZSepUeV","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_FAF","Femmes enceintesvues en 1ere CPN ayant reçu FAF","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN ayant eu MID","MBObyVvmTXs","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_MID","Femmes enceintes vues en 1ere CPN ayant eu MID","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE moins de 18 ans vues en 1ere CPN","wUw8wRnDij7","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_M18a","Femmes enceintes mois de 18 ans vues en 1ere CPN","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE moins de 4 mois de grossesse vues en 1ere CPN","Lirhoz2DlzZ","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_M4m","Femmes enceintes moins de 4 mois de grossessevues","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE ayant effectue 4 CPN","rm102gbKzBZ","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","c4CPN","Femmes enceintes ayant effectué 4 CPN","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE ayant recu TPI 3","IeIcIkISFW4","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cTPI3","Femmes enceintes ayant reçu TPI2","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE ayant recu VAT2 et plus (voir?: Carnet de sante)","cUmwk5QrROJ","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cVAT2PLUS","FE ayant reçu VAT2 et plus(voir crnet de santé)","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE plus de 4 mois ayant recu Albendazole","BYsoIE5uOtw","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cP4mALB","FE plus de 4 mois ayant reçu Albendazole","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN ayant effectue la serologie de la syphilis","fOo31Nil2tg","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1SYPH","FE vues en 1ere CPN ayant effectué la sérologiesyp","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN depistees syphilis positive","RZMjq1JgXm1","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1SYPHP","Fevues en 1ere CPN,dépistéessyphiliis(+)","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN depistees syphilis positive ayant recu 3 doses de Benzathine Penicilline","A7NLDwwwJZ2","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1SP3BP","Fevues en 1ereCPN,dépistéessyphillis(+)ayant reçu","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE moins de 4 mois de grossesse vues en 1ère CPN dépistées à la syphilis","MJifqiY5KQv","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN14mSY","FE moins de4 mois de grossesse vues en 1ere CPN dépistées syph+","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE moins de 4 mois de grossesse vue en 1ere CPN depistees syphilis positive","SKuM60kGDL2","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN14mSYP","Femoins de 4mois degrossessevues en1erreCPNdépsyp+ *","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE moins de 4 mois de grossesse vue en 1ere CPN depistees syphilis positive recevant une dose de benzathine Peni","sQTpBoC77k3","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN14mS1BP","FE-de4moisdépistéessyp+une dose BP *","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN ayant fait le test VIH","FbnFbrkqXnx","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_TVIH","Fevues en 1ere CPN ayant fait le test VIH *","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN ayant fait le test VIH et retire leurs resultats","WI6Ub7CxIXV","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPNI_TVIHR","Fevues en 1ereCPN ayantfait le testVIHet retirées *","zVl3gPlL9HO","Tableau 9",
"Consultation prenatale FE vues en 1ere CPN depistees VIH positive","aZwczOT35v3","HllvX50cXC0",,,,"tRM_CSB_CONS_PRENAT","cCPN1_VIHP","Femmes enceintes vues en 1ereCPN dépistées VIH(+)","zVl3gPlL9HO","Tableau 9",
"Nombre Accouchements 10 - 14 ans","Qi1WRFJoSnU","wQcVaGUsRp6",,,,"tRM_CSB_Maternite","cACCTS_1014a","Accouchement 10 - 14 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Accouchements 15 - 17 ans","Qi1WRFJoSnU","b39EuNOkecq",,,,"tRM_CSB_Maternite","cACCTS_1517a","Accouchement 15 - 17 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Accouchements 18 - 24 ans","Qi1WRFJoSnU","UCHswA40mNi",,,,"tRM_CSB_Maternite","cACCTS_1824a","Accouchement 18 - 24 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Accouchements = 25 ans","Qi1WRFJoSnU","jUVRz8lMcaK",,,,"tRM_CSB_Maternite","cACCTS_2599a","Accouchement 25 ans et plus","zVl3gPlL9HO","Tableau 10",
"Nombre Avortements 10 - 14 ans","xF6tskCumHE","wQcVaGUsRp6",,,,"tRM_CSB_Maternite","cAVT_1014a","Avortement 10 - 14 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Avortements 15 - 17 ans","xF6tskCumHE","b39EuNOkecq",,,,"tRM_CSB_Maternite","cAVT_1517a","Avortement 15 - 17 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Avortements 18 - 24 ans","xF6tskCumHE","UCHswA40mNi",,,,"tRM_CSB_Maternite","cAVT_1824a","Avortement 18 - 24 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Avortements = 25 ans","xF6tskCumHE","jUVRz8lMcaK",,,,"tRM_CSB_Maternite","cAVT_2599a","Avortement 25 ans et plus","zVl3gPlL9HO","Tableau 10",
"Nombre Deces maternels 10 - 14 ans","NnYKpAzraXX","wQcVaGUsRp6",,,,"tRM_CSB_Maternite","cDCMAT_1014a","Décès maternel 10 - 14 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Deces maternels 15 - 17 ans","NnYKpAzraXX","b39EuNOkecq",,,,"tRM_CSB_Maternite","cDCMAT_1517a","Décès maternel 15 - 17 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Deces maternels 18 - 24 ans","NnYKpAzraXX","UCHswA40mNi",,,,"tRM_CSB_Maternite","cDCMAT_1824a","Décès maternel 18 - 24 ans","zVl3gPlL9HO","Tableau 10",
"Nombre Deces maternels = 25 ans","NnYKpAzraXX","jUVRz8lMcaK",,,,"tRM_CSB_Maternite","cDCMAT_2599a","Décès maternel 25 ans et plus","zVl3gPlL9HO","Tableau 10",
"Nombre Complication accouchement Hemorragie","parn1M96r8u","HllvX50cXC0",,,,"tRM_CSB_Maternite","cHGIE_*","Hemorragie *","zVl3gPlL9HO","Tableau 10",
"Nombre Complication accouchement Travail prolonge","z9DZGKulrLL","HllvX50cXC0",,,,"tRM_CSB_Maternite","cTRAV_PRO_*","Travail prolongé *","zVl3gPlL9HO","Tableau 10",
"Nombre Complication accouchement Infection post partum","JAX5HOu665U","HllvX50cXC0",,,,"tRM_CSB_Maternite","cINFPOSTPAR_*","Infection post partum *","zVl3gPlL9HO","Tableau 10",
"Nombre Complication accouchement eclampsie et pre eclampsie","oCe8OAJCLmJ","HllvX50cXC0",,,,"tRM_CSB_Maternite","cECLAMP_*","Eclampsie/Pré eclampsie *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes vivants","Swv8DdBhJvC","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNNV_*","Nouveau-Nés vivants *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes avec poids &lt; 2500 g dans le centre","BkZRUwiNIYA","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNNINF2500g_*","Nouveau-Né avec poids < 2500g *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes ayant recu chlorhexidine immediatement apres naissance","GPnoGnyocHS","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_CHX_*","Nouveau-Né ayant reçu CHX immédiatement naissance *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes avec Infections ombilicales","uyey4mCGZLz","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_IO_*","Nouveau-Né avec infection ombilicale *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes de meres infectees par le VIH","twPFWddshBO","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_MVIH_*","NN né de mère infecté VIH *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes ayant recu une prophylaxie aux ARV","sSkwAPyBF1c","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_ARV_*","NN ayant reçu prophylaxie ARV *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes vivants nes de meres syphilitiques","oC53XPlYhTE","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNNV_MSY_*","NN vivants né de mère syphilitique *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes asymptomatiques nes de meres syphilitiques ayant recu une dose de Benzathine Penicilline","jMqTUwBM7ll","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNNASYM1BP_*","NN asymptom mère syp reçu 1 BP *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes a risque de paralysie cerebrale (anoxie ictere intense et prolonge premature)","hec0WmVXTtR","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_PARACER_*","NN à risque de paralysie cérébrale *","zVl3gPlL9HO","Tableau 10",
"Nombre Nouveau-nes avec malformations congenitales?:?Pieds bots Varus equin bec de lievre fente palatine?","uexj2bjN4IC","HllvX50cXC0",,,,"tRM_CSB_Maternite","cNN_MALFOCG_*","NN avec malfor congenit *","zVl3gPlL9HO","Tableau 10",
"Nombre Mort-nes Frais","o5kVh4kRFF9","b2OJhFUz7Da",,,,"tRM_CSB_Maternite","cMNFRAIS_*","Mort né frais *","zVl3gPlL9HO","Tableau 10",
"Nombre Mort-nes Macéré","o5kVh4kRFF9","FyxsYo0bPV1",,,,"tRM_CSB_Maternite","cMNMACERE_*","Mort né macéré *","zVl3gPlL9HO","Tableau 10",
"Nombre Deces neonatal 0 - 24h","T0kBIwfDa5N","yoOAKfxJWmc",,,,"tRM_CSB_Maternite","cDCNN_24H_*","Décès néonatal 0 - 24 h *","zVl3gPlL9HO","Tableau 10",
"Nombre Deces neonatal 2 - 28j","T0kBIwfDa5N","WVlCXrndiMw",,,,"tRM_CSB_Maternite","cDCNN_28j_*","Décès néonatal 2 - 28j *","zVl3gPlL9HO","Tableau 10",
"Nombre AME premiere heure","TPSCQoFIqIY","HllvX50cXC0",,,,"tRM_CSB_Maternite","cAME_1H_*","AME précoce *","zVl3gPlL9HO","Tableau 10",
"Nombre visites post natales dans les 6 heures","TpbvuOffvSH","HllvX50cXC0",,,,"tRM_CSB_Maternite","cCPON_6H_*","CPON dans les 6 heures *","zVl3gPlL9HO","Tableau 10",
"Nombre visites post natales dans les 6 jours","ziYG9SoVRTP","HllvX50cXC0",,,,"tRM_CSB_Maternite","cCPON_6J_*","CPON dans les 6 jours *","zVl3gPlL9HO","Tableau 10",
"Nombre visites post natales dans les 6 semaines","cBWOepvqxP9","HllvX50cXC0",,,,"tRM_CSB_Maternite","cCPON_6S_*","CPON dans les 6 semaines *","zVl3gPlL9HO","Tableau 10",
"Nombre visites post natales Autre periode","snjzmugwEkY","HllvX50cXC0",,,,"tRM_CSB_Maternite","cCPON_AUT_*","CPON autres périodes *","zVl3gPlL9HO","Tableau 10",
"PEV 0-11 mois vaccines au BCG Fixe","gw5WZlaJrTx","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_BCG","Fixe BCG","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO0) Fixe","YDKwkVd6baz","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPO_0","Fixe 0","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO1) Fixe","QgIq3yd3idj","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPO_1","Fixe 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO2) Fixe","wVCF3HxzXOp","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPO_2","Fixe 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO3) Fixe","eiqnioZ5YM5","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPO_3","Fixe 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 1) Fixe","DHPfbIZT7Rl","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPI_1","Fixe 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 2) Fixe","HFAuEzJoMUb","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPI_2","Fixe 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 3) Fixe","wNiM7Uk5VoG","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VPI_3","Fixe 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 1 Fixe","jB0ZVNgH3MV","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PENTA_1","Fixe 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 2 Fixe","iQSJjz4IRLT","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PENTA_2","Fixe 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 3 Fixe","GtvHAAGRVvI","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PENTA_3","Fixe 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 1 Fixe","ODtbhH0s8xb","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PCV10_1","Fixe 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 2 Fixe","dyF4yboDLl8","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PCV10_2","Fixe 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 3 Fixe","DBDP6BPmcus","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_PCV10_3","Fixe 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 1 Fixe","mS4lFql3Zkc","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_ROTA_1","Fixe 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 2 Fixe","lnJ732vjX8i","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_ROTA_2","Fixe 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois ayant VAR Fixe","uEB2M6w8qjC","HeWwmez6nZO",,,,"tRM_CSB_PEV_Enfants","c0011m_FIXE_VAR","Fixe VAR","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au BCG Avance","gw5WZlaJrTx","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_BCG","Avancée BCG","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO0) Avance","YDKwkVd6baz","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPO_0","Avancée 0","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO1) Avance","QgIq3yd3idj","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPO_1","Avancée 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO2) Avance","wVCF3HxzXOp","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPO_2","Avancée 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO3) Avance","eiqnioZ5YM5","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPO_3","Avancée 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 1) Avance","DHPfbIZT7Rl","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPI_1","Avancée 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 2) Avance","HFAuEzJoMUb","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPI_2","Avancée 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 3) Avance","wNiM7Uk5VoG","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VPI_3","Avancée 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 1 Avance","jB0ZVNgH3MV","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PENTA_1","Avancée 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 2 Avance","iQSJjz4IRLT","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PENTA_2","Avancée 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 3 Avance","GtvHAAGRVvI","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PENTA_3","Avancée 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 1 Avance","ODtbhH0s8xb","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PCV10_1","Avancée 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 2 Avance","dyF4yboDLl8","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PCV10_2","Avancée 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 3 Avance","DBDP6BPmcus","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_PCV10_3","Avancée 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 1 Avance","mS4lFql3Zkc","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_ROTA_1","Avancée 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 2 Avance","lnJ732vjX8i","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_ROTA_2","Avancée 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois ayant VAR Avance","uEB2M6w8qjC","Z6k78RSeohQ",,,,"tRM_CSB_PEV_Enfants","c0011m_AV_VAR","Avancée VAR","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au BCG Mobile","gw5WZlaJrTx","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_BCG","Mobile BCG","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO0) Mobile","YDKwkVd6baz","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPO_0","Mobile 0","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO1) Mobile","QgIq3yd3idj","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPO_1","Mobile 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO2) Mobile","wVCF3HxzXOp","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPO_2","Mobile 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Oral (VPO3) Mobile","eiqnioZ5YM5","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPO_3","Mobile 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 1) Mobile","DHPfbIZT7Rl","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPI_1","Mobile 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 2) Mobile","HFAuEzJoMUb","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPI_2","Mobile 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Polio Inactive (VPI 3) Mobile","wNiM7Uk5VoG","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VPI_3","Mobile 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 1 Mobile","jB0ZVNgH3MV","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PENTA_1","Mobile 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 2 Mobile","iQSJjz4IRLT","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PENTA_2","Mobile 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines au Penta (DTC HepB Hib) 3 Mobile","GtvHAAGRVvI","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PENTA_3","Mobile 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 1 Mobile","ODtbhH0s8xb","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PCV10_1","Mobile 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 2 Mobile","dyF4yboDLl8","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PCV10_2","Mobile 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines PCV_10 3 Mobile","DBDP6BPmcus","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_PCV10_3","Mobile 3","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 1 Mobile","mS4lFql3Zkc","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_ROTA_1","Mobile 1","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois vaccines Rotavirus 2 Mobile","lnJ732vjX8i","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_ROTA_2","Mobile 2","zVl3gPlL9HO","Tableau 11",
"PEV 0-11 mois ayant VAR Mobile","uEB2M6w8qjC","ON4YIsxHxP9",,,,"tRM_CSB_PEV_Enfants","c0011m_MOB_VAR","Mobile VAR","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Oral (VPO1)","eN8B3WoXYVe","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPO_1","1- 5 ans 1","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Oral (VPO2)","AVTK4zbVXj8","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPO_2","1- 5 ans 2","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Oral (VPO3)","jBBmvN92tOI","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPO_3","1- 5 ans 3","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Inactive (VPI) 1","juOYknETyOT","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPI_1","1- 5 ans 1","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Inactive (VPI) 2","yRtPc4kCiwe","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPI_2","1- 5 ans 2","zVl3gPlL9HO","Tableau 11",
"PEV 1-5 ans vaccines Polio Inactive (VPI) 3","bI4CihSdbhy","HllvX50cXC0",,,,"tRM_CSB_PEV_Enfants","c0105a_VPI_3","1- 5 ans 3","zVl3gPlL9HO","Tableau 11",
